CODIGO,FORMATO,CATEGORIA,NOME,REFERENCIA,LINK,EXPOSITOR,POSICAO,COD LOCAL,,,
1079403,17.5x17.5,.,Piso Portinari Love Hexa A Bold CX0.26m² WH MLX,6061396,https://www.elevato.com.br/produto/piso-portinari-love-hexa-17-5x17-5-wh-mlx-9041,9,A1,,,,#N/A
1077615,17.5x17.5,.,Piso Portinari Love Hexa A Bold CX0.26m² SPK MLX,6061397,https://www.elevato.com.br/produto/piso-portinari-love-hexa-spk-mlx-bold-17-5x17-5-8769,9,A2,,,,
1077613,17.5x17.5,.,Piso Portinari Love Hexa A Bold CX0.26m² PK MLX,6061398,https://www.elevato.com.br/produto/piso-portinari-love-hexa-pk-mlx-17-5x17-5-8771,9,A3,,,,
1085999,17.5x17.5,.,Piso Portinari Love Hexa A Bold CX0.26m² GN MLX,6061450,https://www.elevato.com.br/produto/piso-portinari-love-hexa-gn-mlx-17-5x17-5-10058,9,A4,,,,
1085030,17.5x17.5,.,Piso Portinari Love Hexa A Bold CX0.26m² SBL MLX,6061448,https://www.elevato.com.br/produto/piso-portinari-love-hexa-sbl-mlx-17-5x17-5-9957,9,A5,,,,
1085032,17.5x17.5,.,Piso Portinari Love Hexa A Bold CX0.26m² BL MLX,6061449,https://www.elevato.com.br/produto/piso-portinari-love-hexa-bl-mlx-17-5x17-5-9959,9,A6,,,,
1078795,17.5x17.5,.,Piso Portinari Love Hexa A Bold CX0.26m² Steel GD MLX,6061399,https://www.elevato.com.br/produto/piso-portinari-love-hexa-steel-gd-mlx-17-5x17-5-8981,9,A7,,,,
1078957,17.5x17.5,.,Piso Portinari Love Hexa A Bold CX0.26m² Steel GR MLX,6061400,https://www.elevato.com.br/produto/piso-portinari-love-hexa-steel-gr-mlx-17-5x17-5-9014,9,A8,,,,
1107909,17.5x17.5,.,Piso Portinari Lumina Hexa A Bold CX0.26m² NAT WH,6062395,https://www.elevato.com.br/produto/piso-portinari-lumina-17-5x17-5-hexa-bold-wh-natural-13788,9,A9,,,,
1104161,17.5x17.5,Natural,Piso Portinari Rima Hexa A Bold CX0.26m² Nat WH,6062387,https://www.elevato.com.br/produto/piso-portinari-rima-hexa-wh-natural-17-5x17-5-12353,9,A10,,,,
1105579,17.5x17.5,Natural,Piso Portinari Detroit A Hexa Bold CX0.26m² Nat Al,6062382,https://www.ceramicaportinari.com.br/pt/produtos/detroit-hexa-al-nat-17.5x17.5,9,B1,,,,
