Laranjal,,,,,
Codigo,Expositor,Posicao,Unidade,Referencia,Quantidade
1103148,DeBacco,1,Peça,,1
1106363,DeBacco,1,Peça,,1
1103557,DeBacco,1,Peça,,1
1103433,DeBacco,1,Peça,,1
1075343,DeBacco,1,Peça,,1
0,DeBacco,1,Peça,,1
1103417,DeBacco,1,Peça,,1
1103429,DeBacco,1,Peça,,1
1074457,DeBacco,1,Peça,,1
1079085,DeBacco,1,Peça,,1
1069337,DeBacco,1,Peça,,1
1069322,DeBacco,1,Peça,,1
1069325,DeBacco,1,Peça,,1
1068886,DeBacco,1,Peça,,1
1081465,DeBacco,1,Peça,,1
1081459,DeBacco,1,Peça,,1
1103431,DeBacco,1,Peça,,1
1103439,DeBacco,1,Peça,,1
1103415,DeBacco,1,Peça,,1
1103435,DeBacco,1,Peça,,1
1103411,DeBacco,1,Peça,,1
