Laranjal,,,,,
codigo,expositor,posicao,unidade,referencia,quantidade
7746,0,0,Peça,0,1
1016058,0,0,Peça,0,1
1053680,0,0,Peça,0,1
1053924,0,0,Peça,0,1
1057103,0,0,Peça,0,1
1079392,0,0,Peça,0,1
1058620,0,0,Peça,0,1
1058621,0,0,Peça,0,1
1058622,0,0,Peça,0,1
1058623,0,0,Peça,0,1
1058624,0,0,Peça,0,1
1058625,0,0,Peça,0,1
1058788,0,0,Peça,0,1
1059693,0,0,Peça,0,1
1097047,0,0,Peça,0,1
1097048,0,0,Peça,0,1
1097051,0,0,Peça,0,1
1035115,0,0,Peça,0,1
1043830,0,0,Peça,0,1
1044643,0,0,Peça,0,1
1044648,0,0,Peça,0,1
1046072,0,0,Peça,0,1
1046233,0,0,Peça,0,1
1049110,0,0,Peça,0,1
1049220,0,0,Peça,0,1
1051209,0,0,Peça,0,1
1052941,0,0,Peça,0,1
1055782,0,0,Peça,0,1
1056707,0,0,Peça,0,1
1062404,0,0,Peça,0,1
1073379,0,0,Peça,0,1
1096986,0,0,Peça,0,1
1101585,0,0,Peça,0,1
1097054,0,0,Peça,0,1
1097055,0,0,Peça,0,1
1097056,0,0,Peça,0,1
1035162,0,0,Peça,0,1
1055781,0,0,Peça,0,1
1072365,0,0,Peça,0,1
1072365,0,0,Peça,0,1
1101584,0,0,Peça,0,1
1102744,0,0,Peça,0,1
1036608,0,0,Peça,0,1
1040249,0,0,Peça,0,1
1045861,0,0,Peça,0,1
1091407,0,0,Peça,0,1
1046359,0,0,Peça,0,1
1063376,0,0,Peça,0,1
1079405,0,0,Peça,0,1
1081452,0,0,Peça,0,1
1090536,0,0,Peça,0,1
1090540,0,0,Peça,0,1
1002301,0,0,Peça,0,1
1013282,0,0,Peça,0,1
1014201,0,0,Peça,0,1
1016389,0,0,Peça,0,1
1019330,0,0,Peça,0,1
1023667,0,0,Peça,0,1
1024299,0,0,Peça,0,1
1032482,0,0,Peça,0,1
1033747,0,0,Peça,0,1
1036223,0,0,Peça,0,1
1044789,0,0,Peça,0,1
1053505,0,0,Peça,0,1
1053696,0,0,Peça,0,1
1053861,0,0,Peça,0,1
1056272,0,0,Peça,0,1
1059797,0,0,Peça,0,1
1060528,0,0,Peça,0,1
1060779,0,0,Peça,0,1
1061488,0,0,Peça,0,1
1063077,0,0,Peça,0,1
1071866,0,0,Peça,0,1
1071904,0,0,Peça,0,1
1071916,0,0,Peça,0,1
1071932,0,0,Peça,0,1
1071932,0,0,Peça,0,1
1080130,0,0,Peça,0,1
1080138,0,0,Peça,0,1
1080164,0,0,Peça,0,1
1080583,0,0,Peça,0,1
1080583,0,0,Peça,0,1
1088532,0,0,Peça,0,1
1090532,0,0,Peça,0,1
1091807,0,0,Peça,0,1
1094474,0,0,Peça,0,1
1095409,0,0,Peça,0,1
1095411,0,0,Peça,0,1
1096995,0,0,Peça,0,1
1096996,0,0,Peça,0,1
1100083,0,0,Peça,0,1
1103038,0,0,Peça,0,1
1104082,0,0,Peça,0,1
1080558,0,0,Peça,0,1
1080559,0,0,Peça,0,1
1081651,0,0,Peça,0,1
1051771,0,0,Peça,0,1
1091343,0,0,Peça,0,1
1055458,0,0,Peça,0,1
1061931,0,0,Peça,0,1
1078933,0,0,Peça,0,1
1039017,0,0,Peça,0,1
1048832,0,0,Peça,0,1
1054153,0,0,Peça,0,1
1074944,0,0,Peça,0,1
1078148,0,0,Peça,0,1
1080079,0,0,Peça,0,1
1060522,0,0,Peça,0,1
1031370,0,0,Peça,0,1
1085775,0,0,Peça,0,1
1106844,0,0,Peça,0,1
1106846,0,0,Peça,0,1
110775,0,0,Peça,0,1
1000236,0,0,Peça,0,1
1015346,0,0,Peça,0,1
1016146,0,0,Peça,0,1
1025232,0,0,Peça,0,1
1034914,0,0,Peça,0,1
1034915,0,0,Peça,0,1
1044506,0,0,Peça,0,1
1044507,0,0,Peça,0,1
1044943,0,0,Peça,0,1
1053671,0,0,Peça,0,1
1053676,0,0,Peça,0,1
1053874,0,0,Peça,0,1
1054111,0,0,Peça,0,1
1056907,0,0,Peça,0,1
1058467,0,0,Peça,0,1
1062486,0,0,Peça,0,1
1063230,0,0,Peça,0,1
1064093,0,0,Peça,0,1
1079419,0,0,Peça,0,1
1092566,0,0,Peça,0,1
1098052,0,0,Peça,0,1
13123,0,0,Peça,0,1
1016153,0,0,Peça,0,1
1016294,0,0,Peça,0,1
1021836,0,0,Peça,0,1
1021848,0,0,Peça,0,1
1036737,0,0,Peça,0,1
1038844,0,0,Peça,0,1
1044399,0,0,Peça,0,1
1053703,0,0,Peça,0,1
1054951,0,0,Peça,0,1
1058468,0,0,Peça,0,1
1095482,0,0,Peça,0,1
1029715,0,0,Peça,0,1
7509,0,0,Peça,0,1
11509,0,0,Peça,0,1
1022769,0,0,Peça,0,1
1035114,0,0,Peça,0,1
1044772,0,0,Peça,0,1
1044773,0,0,Peça,0,1
1045860,0,0,Peça,0,1
1046741,0,0,Peça,0,1
1050426,0,0,Peça,0,1
1058187,0,0,Peça,0,1
1061420,0,0,Peça,0,1
1061699,0,0,Peça,0,1
1072363,0,0,Peça,0,1
1079361,0,0,Peça,0,1
1098431,0,0,Peça,0,1
1101583,0,0,Peça,0,1
11489,0,0,Peça,0,1
1034432,0,0,Peça,0,1
1053453,0,0,Peça,0,1
