Codigo,Expositor,Posicao,Unidade,Referencia,Quantidade 
0,1,1,Metro Quadrado,8045577,1
1065093,1,2,Metro Quadrado,,1
1118706,1,3,Metro Quadrado,,1
0,1,4,Metro Quadrado,8049694,1
1067429,1,5,Metro Quadrado,,1
1108875,1,6,Metro Quadrado,,1
1094756,1,7,Metro Quadrado,,1
1079661,1,8,Metro Quadrado,,1
1115217,1,9,Metro Quadrado,,1
1107530,1,10,Metro Quadrado,,1
1131657,1,11,Metro Quadrado,8049680,1
1130511,1,12,Metro Quadrado,8049681,1
1053582,1,13,Metro Quadrado,,1
1058511,1,14,Metro Quadrado,,1
1083762,1,15,Metro Quadrado,,1
1095972,1,16,Metro Quadrado,,1
1059358,1,17,Metro Quadrado,,1
1129711,1,18,Metro Quadrado,8049691,1
1091401,1,19,Metro Quadrado,,1
1127374,1,20,Metro Quadrado,8049688,2
1116607,1,21,Metro Quadrado,,1
1129312,1,22,Metro Quadrado,8049689,1
1116622,1,23,Metro Quadrado,,1
1110221,1,24,Metro Quadrado,,1
1113478,1,25,Metro Quadrado,,1
1116665,1,26,Metro Quadrado,,1
1113599,1,27,Metro Quadrado,,1
1092174,1,28,Metro Quadrado,,1
0,1,29,Metro Quadrado,8045531,1
1081979,1,30,Metro Quadrado,,1
1088317,1,31,Metro Quadrado,,1
1065128,1,32,Metro Quadrado,,1
1130395,1,33,Metro Quadrado,8049692,1
1108494,1,34,Metro Quadrado,,1
1060603,1,35,Metro Quadrado,,1
1076488,1,36,Metro Quadrado,,1
1107950,1,37,Metro Quadrado,,1
1127824,1,38,Metro Quadrado,,1
1127823,1,39,Metro Quadrado,,1
1131552,1,40,Metro Quadrado,8049502,1
1061365,1,41,Metro Quadrado,,1
1054590,1,42,Metro Quadrado,,1
1077388,1,43,Metro Quadrado,,1
1062477,1,44,Metro Quadrado,,1
1127814,1,45,Metro Quadrado,,1
1112761,1,46,Metro Quadrado,,1
1062362,1,47,Metro Quadrado,,1
1096915,1,48,Metro Quadrado,,1
1062971,1,49,Metro Quadrado,,1
1062969,1,50,Metro Quadrado,,1
1061973,1,51,Metro Quadrado,,1
1079669,1,52,Metro Quadrado,,1
1080402,1,53,Metro Quadrado,,1
1099695,1,54,Metro Quadrado,,1
1074931,1,55,Metro Quadrado,,1
1109733,1,56,Metro Quadrado,,1
1059422,1,57,Metro Quadrado,,1
1088248,1,58,Metro Quadrado,,1
1059590,1,59,Metro Quadrado,,1
1063621,1,60,Metro Quadrado,,1
1063620,1,61,Metro Quadrado,,1
1069941,1,62,Metro Quadrado,,1
1063332,1,63,Metro Quadrado,,1
1126888,1,64,Metro Quadrado,,1
1128315,1,65,Metro Quadrado,6062595,1
1126117,1,66,Metro Quadrado,,1
1130602,1,67,Metro Quadrado,6062638,1
1126151,1,68,Metro Quadrado,,1
1128169,1,69,Metro Quadrado,,1
1060914,1,70,Metro Quadrado,,1
1054856,1,71,Metro Quadrado,,1
1112673,1,72,Metro Quadrado,,1
1115721,1,73,Metro Quadrado,,1
0,1,74,Metro Quadrado,Lounge Gr Nat,1
1072958,1,75,Metro Quadrado,,1
1085081,1,76,Metro Quadrado,,1
1076335,1,77,Metro Quadrado,,1
1119431,1,78,Metro Quadrado,,1
1099373,1,79,Metro Quadrado,,1
1095312,1,80,Metro Quadrado,,1
1093657,1,81,Metro Quadrado,,1
1065452,1,82,Metro Quadrado,,1
1046774,1,83,Metro Quadrado,,1
1046376,1,85,Metro Quadrado,,1
1046159,1,86,Metro Quadrado,,1
1046141,1,87,Metro Quadrado,,1
1085094,1,88,Metro Quadrado,,1
1042263,1,89,Metro Quadrado,,1
1053149,1,90,Metro Quadrado,,1
1064309,1,91,Metro Quadrado,,1
1077774,1,92,Metro Quadrado,,1
0,1,93,Metro Quadrado,6062545,1
1060689,1,94,Metro Quadrado,,1
1077140,1,95,Metro Quadrado,,1
1131583,1,96,Metro Quadrado,203710E,1
1130460,1,97,Metro Quadrado,,1
1117866,1,98,Metro Quadrado,,1
1056809,1,99,Metro Quadrado,,1
1058418,1,100,Metro Quadrado,,1
1100524,1,101,Metro Quadrado,,1
1063616,1,102,Metro Quadrado,,1
1116132,1,103,Metro Quadrado,,1
1119584,1,104,Metro Quadrado,,1
1117491,1,105,Metro Quadrado,,1
1128573,1,106,Metro Quadrado,,1
1123932,1,107,Metro Quadrado,,1
1129868,1,108,Metro Quadrado,,1
1106256,1,109,Metro Quadrado,,1
1122572,1,109,Metro Quadrado,,1
1062721,1,110,Metro Quadrado,,1
1062722,1,111,Metro Quadrado,,1
1095717,1,112,Metro Quadrado,,1
1058564,1,113,Metro Quadrado,,1
1109477,1,114,Metro Quadrado,,1
1125958,1,115,Metro Quadrado,,1
1125961,1,116,Metro Quadrado,,1
1068816,1,117,Metro Quadrado,,4
1115672,1,118,Metro Quadrado,,1
1076300,1,119,Metro Quadrado,,1
1122900,1,120,Metro Quadrado,,1
1107578,1,121,Metro Quadrado,,1
1115686,1,122,Metro Quadrado,,1
1125992,1,123,Metro Quadrado,,1
1125993,1,124,Metro Quadrado,,1
1107690,1,125,Metro Quadrado,,1
1078493,1,126,Metro Quadrado,,1
1115663,1,127,Metro Quadrado,,1
1080940,1,128,Metro Quadrado,,1
1115665,1,129,Metro Quadrado,,1
1111175,1,130,Metro Quadrado,,1
0,1,131,Metro Quadrado,96080018,1
1115683,1,132,Metro Quadrado,,1
1126197,1,133,Metro Quadrado,,1
1088793,1,134,Metro Quadrado,,1
1115664,1,135,Metro Quadrado,,1
1123067,1,136,Metro Quadrado,,1
1122047,1,137,Metro Quadrado,,1
1121837,1,138,Metro Quadrado,,1
1121656,1,139,Metro Quadrado,INC08di0016,1
1129338,1,140,Metro Quadrado,INC08di0017,1
1122410,1,141,Metro Quadrado,,1
1125997,1,142,Metro Quadrado,,1
1125996,1,143,Metro Quadrado,,1
1127945,1,144,Metro Quadrado,,1
1062201,1,145,Metro Quadrado,,1
1116476,1,146,Metro Quadrado,,1
1078397,1,147,Metro Quadrado,,1
1099454,1,148,Metro Quadrado,,1
1127471,1,149,Metro Quadrado,910014,1
1098844,1,150,Metro Quadrado,,1
1127439,1,151,Metro Quadrado,910012,1
1100129,1,152,Metro Quadrado,,1
1091664,1,153,Metro Quadrado,,1
1078212,1,154,Metro Quadrado,,1
1098769,1,155,Metro Quadrado,,1
1091662,1,156,Metro Quadrado,,1
1098782,1,157,Metro Quadrado,,1
1108254,1,158,Metro Quadrado,,1
1129988,1,159,Metro Quadrado,,1
1129987,1,160,Metro Quadrado,,1
1054857,1,161,Metro Quadrado,,2
1062041,1,162,Metro Quadrado,,3
1077136,1,163,Metro Quadrado,,4
1082395,1,164,Metro Quadrado,,5
1099763,1,165,Metro Quadrado,,6
1113353,1,166,Metro Quadrado,,7
1119716,1,167,Metro Quadrado,,8
1124020,1,168,Metro Quadrado,,9
