Laranjal,,,,,
Codigo,Expositor,Posicao,Unidade,Referencia,Quantidade 
1118478,10,1,Metro Quadrado,,1
1119866,10,2,Metro Quadrado,,1
1123792,10,3,Metro Quadrado,,1
1119527,10,4,Metro Quadrado,,1
1119536,10,5,Metro Quadrado,,1
1118286,10,6,Metro Quadrado,,1
1117110,10,7,Metro Quadrado,,1
1121221,10,8,Metro Quadrado,,1
1119119,10,9,Metro Quadrado,,1
1122194,10,10,Metro Quadrado,,1
1117789,10,11,Metro Quadrado,,1
1109983,10,12,Metro Quadrado,,1
1074852,10,13,Metro Quadrado,,1
1109962,10,14,Metro Quadrado,,1
1103635,10,15,Metro Quadrado,,1
1106246,10,16,Metro Quadrado,,1
1118143,10,17,Metro Quadrado,,1
1116610,10,18,Metro Quadrado,,1
1116424,10,19,Metro Quadrado,,1
1113622,10,20,Metro Quadrado,,1
1063905,10,21,Metro Quadrado,,1
1064157,10,22,Metro Quadrado,,1
1098929,10,23,Metro Quadrado,,1
1099679,10,24,Metro Quadrado,,1
5062627,10,25,Metro Quadrado,,1
1119458,10,26,Metro Quadrado,,1
5062573,10,27,Metro Quadrado,,1
1051336,10,28,Metro Quadrado,,1
1061220,10,29,Metro Quadrado,,1
1054869,10,30,Metro Quadrado,,1
1049049,10,31,Metro Quadrado,,1
1116071,10,32,Metro Quadrado,,1
1065163,10,33,Metro Quadrado,,1
1118933,10,34,Metro Quadrado,,1
1057122,10,35,Metro Quadrado,,1
1082824,10,36,Metro Quadrado,,1
1064052,10,37,Metro Quadrado,,1
0,10,38,Metro Quadrado,Lumina Dgr Nat,1
0,10,39,Metro Quadrado,Apogeu Bw Nat,1
1095139,10,40,Metro Quadrado,,1
1098847,10,41,Metro Quadrado,,1
1056543,10,42,Metro Quadrado,,1
1053229,10,43,Metro Quadrado,,1
1122453,10,44,Metro Quadrado,,1
1120774,10,45,Metro Quadrado,,1
1119390,10,46,Metro Quadrado,,1
1125012,10,47,Metro Quadrado,,1
1057857,10,48,Metro Quadrado,,1
1057560,10,49,Metro Quadrado,,1
1079030,10,50,Metro Quadrado,,1
