Codigo,Expositor,Posicao,Unidade,Referencia,Quantidade 
1125984,11,1,Metro Quadrado,,1
1125986,11,2,Metro Quadrado,,1
1122338,11,3,Metro Quadrado,,2
1126222,11,4,Metro Quadrado,,1
1118641,11,5,Metro Quadrado,,1
1110667,11,6,Metro Quadrado,,1
1078120,11,7,Metro Quadrado,,1
1111092,11,8,Metro Quadrado,,1
1076165,11,9,Metro Quadrado,,1
1079106,11,10,Metro Quadrado,,1
1118951,11,11,Metro Quadrado,,1
1129791,11,12,Metro Quadrado,,1
1115121,11,13,Metro Quadrado,,1
1116128,11,14,Metro Quadrado,,2
1128342,11,15,Metro Quadrado,,1
1097388,11,16,Metro Quadrado,,1
1128844,11,17,Metro Quadrado,,1
1098614,11,18,Metro Quadrado,,1
1044089,11,19,Metro Quadrado,,1
1130002,11,20,Metro Quadrado,204673E,1
1069775,11,21,Metro Quadrado,,1
1131449,11,22,Metro Quadrado,204624E,1
1129593,11,23,Metro Quadrado,,1
1111884,11,24,Metro Quadrado,,1
1128627,11,25,Metro Quadrado,,1
1126938,11,26,Metro Quadrado,,1
1126742,11,27,Metro Quadrado,,1
