Codigo,Expositor,Posicao,Unidade ,Referencia ,Quantidade 
1114903,12,1,Metro Quadrado,6061811,1
1107133,12,2,Metro Quadrado,,1
1116067,12,3,Metro Quadrado,,1
1116068,12,4,Metro Quadrado,,1
1129594,12,5,Metro Quadrado,6062560,1
1130018,12,6,Metro Quadrado,6062561,1
0,12,7,Metro Quadrado ,Violin Decor Bw White,1
0,12,8,Metro Quadrado,Enredo Steel Gd Mlx,1
0,12,9,Metro Quadrado,Enredo Steel Dbw Mlx,1
1129930,12,10,Metro Quadrado,5062626,1
1129845,12,11,Metro Quadrado,5062046,1
1095565,12,12,Metro Quadrado,,1
1127645,12,13,Metro Quadrado,5062574,1
1107770,12,14,Metro Quadrado ,,1
1116049,12,15,Metro Quadrado,,1
1127534,12,16,Metro Quadrado,5062044,1
0,12,17,Metro Quadrado,5062045,1
1130784,12,18,Metro Quadrado,5062445,1
1092159,12,19,Metro Quadrado,,1
1119191,12,20,Metro Quadrado,,1
1077218,12,21,Metro Quadrado ,,1
1115671,12,22,Metro Quadrado,,1
1125956,12,23,Metro Quadrado,,1
1116564,12,24,Metro Quadrado,,1
1110059,12,25,Metro Quadrado,,1
1081007,12,26,Metro Quadrado,,1
1078524,12,27,Metro Quadrado,,1
1080465,12,28,Metro Quadrado ,,1
1079104,12,29,Metro Quadrado,,1
1116596,12,30,Metro Quadrado,,1
0,12,31,Metro Quadrado,Natural branco br ret,1
1109078,12,32,Metro Quadrado,,1
1110655,12,33,Metro Quadrado,,1
1111299,12,34,Metro Quadrado,,1
1108316,12,35,Metro Quadrado ,,1
