Codigo,Expositor,Posicao,Unidade,Referencia,Quantidade 
1064810,13,1,Metro Quadrado,,1
1064899,13,2,Metro Quadrado,,1
1060993,13,3,Metro Quadrado,,1
1125087,13,4,Metro Quadrado,62478,1
1061537,13,5,Metro Quadrado,,1
1060998,13,6,Metro Quadrado,,1
1064599,13,7,Metro Quadrado,,1
1061118,13,8,Metro Quadrado,,1
1078336,13,9,Metro Quadrado,,1
1105920,13,10,Metro Quadrado,,1
1095003,13,11,Metro Quadrado,,1
1095005,13,12,Metro Quadrado,,1
1092546,13,13,Metro Quadrado,,1
1117751,13,14,Metro Quadrado,,1
1115988,13,15,Metro Quadrado,,1
1083997,13,16,Metro Quadrado,,1
1063960,13,17,Metro Quadrado,,1
1061178,13,18,Metro Quadrado,,1
1123863,13,19,Metro Quadrado,62275,1
1065129,13,20,Metro Quadrado,,1
1065105,13,21,Metro Quadrado,,1
1095613,13,22,Conjunto,5066080,1
0,13,23,Metro Quadrado,5066078A,1
1116042,13,24,Metro Quadrado,,1
1129224,13,26,Metro Quadrado,5062047,1
0,13,27,Metro Quadrado,5062051,1
0,13,28,Metro Quadrado,5062052,1
1130126,13,29,Metro Quadrado,5062577,1
1130831,13,30,Metro Quadrado,5062578,1
0,13,31,Metro Quadrado,5066076A,1
1118717,13,32,Metro Quadrado,,1
1118935,13,33,Metro Quadrado,5062442,1
1120266,13,34,Metro Quadrado,,1
1119025,13,35,Metro Quadrado,5062443,1
1119032,13,36,Metro Quadrado,,1
1105584,13,37,Metro Quadrado,,1
1103476,13,38,Metro Quadrado,,1
