Laranjal,,,,,
Codigo,Expositor,Posicao,Unidade,Referencia,Quantidade
1047629,16,1,Metro Quadrado,,1
1039885,16,2,Metro Quadrado,,1
0,16,3,Metro Quadrado,"Atlantica 9,5x118,2",1
0,16,4,Metro Quadrado,"Mude Concreto Ma 9,5x 118,2",1
0,16,5,Metro Quadrado,"Mude Cimento ama 9,5x118,2 ",1
1107698,16,6,Metro Quadrado,,1
1097111,16,7,Metro Quadrado,,1
1079484,16,8,Metro Quadrado,,1
1048515,16,9,Metro Quadrado,,1
1051235,16,10,Metro Quadrado,,1
1050506,16,11,Metro Quadrado,,1
1097714,16,12,Metro Quadrado,,1
1077804,16,13,Metro Quadrado,,1
1128597,16,14,Metro Quadrado,6062598,1
1122731,16,15,Metro Quadrado,,1
1115174,16,16,Metro Quadrado,,1
1115173,16,17,Metro Quadrado,,1
1047009,16,18,Metro Quadrado,,1
1119109,16,19,Metro Quadrado,,1
1119093,16,20,Metro Quadrado,,1
1065035,16,21,Metro Quadrado,,1
1069424,16,22,Metro Quadrado,,1
1112754,16,23,Metro Quadrado,,1
1092166,16,24,Metro Quadrado,,1
1111219,16,25,Metro Quadrado,,1
0,16,26,Metro Quadrado,5062571,1
0,16,27,Metro Quadrado,5043505,1
