Codigo,Expositor,Posicao,Unidade,Referencia,Quantidade
0,19,1,Metro Quadrado,5049357A,1
1109117,19,2,Metro Quadrado,,1
1108117,19,3,Metro Quadrado,,1
1099400,19,4,Metro Quadrado,,1
1097866,19,5,Metro Quadrado,,1
1097860,19,6,Metro Quadrado,,1
1112422,19,7,Metro Quadrado,,1
0,19,8,Metro Quadrado,violin bw nat,1
1115909,19,9,Metro Quadrado,,1
1118144,19,10,Metro Quadrado,,1
1111774,19,11,Metro Quadrado,,1
1068680,19,12,Metro Quadrado,,1
1055314,19,13,Metro Quadrado,,1
1055530,19,14,Metro Quadrado,,1
1087660,19,15,Metro Quadrado,,1
1062106,19,16,Metro Quadrado,,1
1122637,19,17,Metro Quadrado,,1
1055090,19,18,Metro Quadrado,,1
1065480,19,19,Metro Quadrado,,1
1065089,19,20,Metro Quadrado,,1
1057539,19,21,Metro Quadrado,,1
1100270,19,22,Metro Quadrado,,1
1056550,19,23,Metro Quadrado,,1
1127324,19,24,Metro Quadrado,,1
1124806,19,25,Metro Quadrado,,1
1118346,19,26,Metro Quadrado,,1
1129991,19,27,Metro Quadrado,,1
1129996,19,28,Metro Quadrado,,1
1110675,19,29,Metro Quadrado,,1
1046989,19,30,Metro Quadrado,,1
1129997,19,31,Metro Quadrado,,1
1117652,19,32,Metro Quadrado,,1
1121901,19,33,Metro Quadrado,,1
1111551,19,34,Metro Quadrado,,1
1114087,19,35,Metro Quadrado,,1
1108216,19,36,Metro Quadrado,,1
1091660,19,37,Metro Quadrado,,1
1110507,19,38,Metro Quadrado,,1
