Codigo,Expositor,Posicao,Unidade,Referencia,Quantidade
1125596,20,1,Metro Quadrado,,1
1113882,20,2,Metro Quadrado,,1
1103485,20,3,Metro Quadrado,,1
0,20,4,Metro Quadrado,via rosa metrópole 72x72 ext,1
1125839,20,5,Metro Quadrado,,1
1123958,20,6,Metro Quadrado,,1
1118831,20,7,Metro Quadrado,,1
1116686,20,8,Metro Quadrado,,1
1110316,20,9,Metro Quadrado,,1
1116682,20,10,Metro Quadrado,,1
1106635,20,11,Metro Quadrado,,1
1101418,20,12,Metro Quadrado,,1
1097967,20,13,Metro Quadrado,,1
1108252,20,14,Metro Quadrado,,1
1116674,20,15,Metro Quadrado,,1
1116680,20,16,Metro Quadrado,,1
1091658,20,17,Metro Quadrado,,1
1116678,20,18,Metro Quadrado,,1
1116676,20,19,Metro Quadrado,,1
1062265,20,20,Metro Quadrado,,1
1124332,20,21,Metro Quadrado,,1
1126461,20,22,Metro Quadrado,,1
1084960,20,23,Metro Quadrado,,1
1126148,20,24,Metro Quadrado,,1
1091401,20,25,Metro Quadrado,,1
1124332,20,26,Metro Quadrado,,1
1126889,20,27,Metro Quadrado,,1
1119302,20,28,Metro Quadrado,,1
1100642,20,29,Metro Quadrado,,2
1102629,20,30,Metro Quadrado,,1
1128787,20,31,Metro Quadrado,,1
1110445,20,32,Metro Quadrado,,1
1095306,20,33,Metro Quadrado,,1
1116822,20,34,Metro Quadrado,,1
1070550,20,35,Metro Quadrado,,1
1074676,20,36,Metro Quadrado,,1
1122264,20,37,Metro Quadrado,,1
1119985,20,38,Metro Quadrado,,1
1120274,20,39,Metro Quadrado,,1
1081332,20,40,Metro Quadrado,,1
1106788,20,41,Metro Quadrado,,1
1119977,20,42,Metro Quadrado,,1
