Laranjal,,,,,
Codigo,Expositor,Posicao,Unidade,Referencia,Quantidade
1108246,24,1,Metro Quadrado,,1
1108250,24,2,Metro Quadrado,,1
1119245,24,3,Metro Quadrado,,1
1095625,24,4,Metro Quadrado,,1
1096496,24,5,Metro Quadrado,,1
1100221,24,6,Metro Quadrado,,1
1063439,24,7,Metro Quadrado,,1
1109168,24,8,Metro Quadrado,,1
1095690,24,9,Metro Quadrado,,1
1094713,24,10,Metro Quadrado,,1
1097874,24,11,Metro Quadrado,,1
1118471,24,12,Metro Quadrado,,1
1119769,24,13,Metro Quadrado,,1
1097874,24,14,Metro Quadrado,,1
1111179,24,15,Metro Quadrado,,1
1128684,24,16,Metro Quadrado,6062580,1
0,24,17,Metro Quadrado,5049006,1
0,24,18,Metro Quadrado,5062619,1
1114993,24,19,Metro Quadrado,,1
1115433,24,20,Metro Quadrado,,1
0,24,21,Metro Quadrado,clpv2580,1
1110656,24,22,Metro Quadrado,,1
0,24,23,Metro Quadrado,clpv7480,1
1106157,24,24,Metro Quadrado,,1
1119453,24,25,Metro Quadrado,,1
1103928,24,26,Metro Quadrado,,1
1098919,24,27,Metro Quadrado,,1
1090433,24,28,Metro Quadrado,,1
1103927,24,29,Metro Quadrado,,1
1104601,24,30,Metro Quadrado,,1
1126051,24,31,Metro Quadrado,,1
1099295,24,32,Metro Quadrado,,1
1094078,24,33,Metro Quadrado,,1
1070408,24,34,Metro Quadrado,,1
1110171,24,35,Metro Quadrado,,1
fora de linha,24,36,Metro Quadrado,,1
1118283,24,37,Metro Quadrado,,1
0,24,38,Metro Quadrado,,1
1097185,24,39,Metro Quadrado,,1
1109090,24,40,Metro Quadrado,,1
1103931,24,41,Metro Quadrado,,1
1126650,24,42,Metro Quadrado,,1
