Laranjal,,,,,
Codigo ,Expositor ,Posição ,Unidade ,Referência ,Quantidade 
1094168,25,1,Metro Quadrado,,1
1078509,25,2,Metro Quadrado,,1
1083104,25,3,Metro Quadrado,,1
0,25,4,Metro Quadrado,24074412,1
1096098,25,5,Metro Quadrado,,1
0,25,6,Metro Quadrado,24074413,1
1118363,25,7,Metro Quadrado,,1
0,25,8,Metro Quadrado,24074549,1
1051726,25,9,Metro Quadrado,,1
1067401,25,10,Metro Quadrado,,1
1067608,25,11,Metro Quadrado,,1
1075844,25,12,Metro Quadrado,,1
1069956,25,13,Metro Quadrado,,1
1075388,25,14,Metro Quadrado,,1
1067603,25,15,Metro Quadrado,,1
1075848,25,16,Metro Quadrado,,1
1067732,25,17,Metro Quadrado,,1
0,25,18,Metro Quadrado,9344606,1
1067421,25,19,Metro Quadrado,,1
1070214,25,20,Metro Quadrado,,1
1068837,25,21,Metro Quadrado,,1
1065039,25,22,Metro Quadrado,,1
1075961,25,23,Metro Quadrado,,1
1070877,25,24,Metro Quadrado,,1
1058021,25,25,Metro Quadrado,,1
0,25,26,Metro Quadrado,9345694,1
1055027,25,27,Metro Quadrado,,1
1051876,25,28,Metro Quadrado,,1
1065040,25,29,Metro Quadrado,,1
1072736,25,30,Metro Quadrado,,1
1075645,25,31,Metro Quadrado,,1
1061297,25,32,Metro Quadrado,,1
1064565,25,33,Metro Quadrado,,1
1069191,25,34,Metro Quadrado,,1
1067461,25,35,Metro Quadrado,,1
1063573,25,36,Metro Quadrado,,1
0,25,37,Metro Quadrado,,1
1064564,25,38,Metro Quadrado,,1
0,25,39,Metro Quadrado,,1
1073803,25,40,Metro Quadrado,,1
1073341,25,41,Metro Quadrado,,1
1072349,25,42,Metro Quadrado,,1
0,25,43,Metro Quadrado,24124812,1
1111406,25,44,Metro Quadrado,,1
1113681,25,45,Metro Quadrado,,1
1113919,25,46,Metro Quadrado,duplicado com o 48º,1
0,25,47,Metro Quadrado,24124330,1
1113919,25,48,Metro Quadrado,duplicado com o 46º,1
1111603,25,49,Metro Quadrado,,1
1112198,25,50,Metro Quadrado,,1
1112404,25,51,Metro Quadrado,,1
1111603,25,52,Metro Quadrado,,1
0,25,53,Metro Quadrado,24124344,1
0,25,54,Metro Quadrado,24124384,1
1119166,25,55,Metro Quadrado,,2
0,25,56,Metro Quadrado,24124811,1
0,25,56,Metro Quadrado,24124911,1
1108783,25,57,Metro Quadrado,,1
0,25,58,Metro Quadrado,24099124,1
0,25,59,Metro Quadrado,24035411,1
1074294,25,60,Metro Quadrado,,1
1065418,25,61,Metro Quadrado,,1
1078574,25,62,Metro Quadrado,,1
0,25,63,Metro Quadrado,24091101,1
1116560,25,64,Metro Quadrado,,1
1110074,25,65,Metro Quadrado,,1
0,25,66,Metro Quadrado,24091103,1
0,25,67,Metro Quadrado,9346708,1
1075386,25,68,Metro Quadrado,,1
1094607,25,69,Metro Quadrado,,1
1107660,25,70,Metro Quadrado,,1
1114164,25,71,Metro Quadrado,,1
1111176,25,72,Metro Quadrado,,1
0,25,73,Metro Quadrado,,1
1070460,25,74,Metro Quadrado,,1
1095261,25,75,Metro Quadrado,,1
0,25,76,Metro Quadrado,24090415,1
0,25,77,Metro Quadrado,24089715,1
0,25,78,Metro Quadrado,24089516,1
