Laranjal,,,,,
Codigo,Expositor ,Posição ,Unidade ,Referência ,Quantidade
1077979,26,1,Metro Quadrado,,1
1077985,26,2,Metro Quadrado,,1
0,26,3,Metro Quadrado,nogueira cadiz 187x1340,1
1077943,26,4,Metro Quadrado,,1
1077999,26,5,Metro Quadrado,,1
1078001,26,6,Metro Quadrado,,1
1077973,26,7,Metro Quadrado,,1
0,26,8,Metro Quadrado,carvalho york 187x1340,1
1108374,26,9,Metro Quadrado,,1
1108370,26,10,Metro Quadrado,,1
1078003,26,11,Metro Quadrado,,1
1077993,26,12,Metro Quadrado,,1
1129216,26,13,Metro Quadrado,,1
1113505,26,14,Metro Quadrado,,1
0,26,15,Metro Quadrado,itapuã 187x1340,1
1077981,26,16,Metro Quadrado,,1
1118861,26,17,Metro Quadrado,,1
1077993,26,18,Metro Quadrado,,1
1077995,26,19,Metro Quadrado,,1
1078005,26,20,Metro Quadrado,,1
1078025,26,21,Metro Quadrado,,1
1078027,26,22,Metro Quadrado,,1
1077953,26,23,Metro Quadrado,,1
1078023,26,24,Metro Quadrado,,1
1078029,26,25,Metro Quadrado,,1
1078021,26,26,Metro Quadrado,,1
0,26,27,Metro Quadrado,basalto 291x1340,1
0,26,28,Metro Quadrado,sardenha 291x1340,1
0,26,29,Metro Quadrado,lisboa 291x1340,1
0,26,30,Metro Quadrado,sardenha291x1340,1
0,26,31,Metro Quadrado,toledo 291x1340,1
0,26,32,Metro Quadrado,bruxelas 291x1340,1
1078035,26,33,Metro Quadrado,,1
0,26,34,Metro Quadrado,ferrara 291x1340,1
0,26,35,Metro Quadrado,buenos aires 248x1340,1
0,26,36,Metro Quadrado,mancora 248x1340,1
1078019,26,37,Metro Quadrado,,1
1078017,26,38,Metro Quadrado,,1
1078011,26,39,Metro Quadrado,,1
1078013,26,40,Metro Quadrado,,1
0,26,41,Metro Quadrado,bariloche 248x1340,1
0,26,42,Metro Quadrado,tauari ravena 248x1340,1
0,26,43,Metro Quadrado,buenos aires 248x1340,1
0,26,44,Metro Quadrado,búzios 248x1340,1
0,26,45,Metro Quadrado,arenito 248x1340,1
0,26,46,Metro Quadrado,portoro 248x1340,1
0,26,47,Metro Quadrado,amsterdã 248x1340,1
0,26,48,Metro Quadrado,moscou 248x1340,1
1078053,26,49,Metro Quadrado,,1
1077962,26,50,Metro Quadrado,,1
0,26,51,Metro Quadrado,,1
1078047,26,52,Metro Quadrado,,1
1069977,26,53,Metro Quadrado,,1
0,26,54,Metro Quadrado,parma 178x1219,1
1077115,26,55,Metro Quadrado,,1
0,26,56,Metro Quadrado,,1
0,26,57,Metro Quadrado,sinai (urban) 178x1219,1
0,26,58,Metro Quadrado,taos 178x1219,1
1077496,26,59,Metro Quadrado,,1
1076275,26,60,Metro Quadrado,,1
1068770,26,61,Metro Quadrado,,1
1087718,26,62,Metro Quadrado,,1
1065230,26,63,Metro Quadrado,,1
1076110,26,64,Metro Quadrado,,1
0,26,65,Metro Quadrado,,1
1061742,26,66,Metro Quadrado,,1
1064934,26,67,Metro Quadrado,,1
1070468,26,68,Metro Quadrado,,1
1070314,26,69,Metro Quadrado,,1
1075233,26,70,Metro Quadrado,,1
1064611,26,71,Metro Quadrado,,1
1064901,26,72,Metro Quadrado,,1
1067966,26,73,Metro Quadrado,,1
1079480,26,74,Metro Quadrado,,1
1067253,26,75,Metro Quadrado,,1
1067249,26,76,Metro Quadrado,,1
1067485,26,77,Metro Quadrado,,1
0,26,78,Metro Quadrado,,1
0,26,79,Metro Quadrado,recife | inova 609x609,1
1096600,26,80,Metro Quadrado,,1
0,26,81,Metro Quadrado,tarragona | inova 914x914,1
1067255,26,82,Metro Quadrado,,1
0,26,83,Metro Quadrado,natal | nativa 182x1524,1
1108481,26,84,Metro Quadrado,,1
0,26,85,Metro Quadrado,belém | nativa 182x1524,1
1111999,26,86,Metro Quadrado,,1
1109221,26,87,Metro Quadrado,,1
1113741,26,88,Metro Quadrado,,1
0,26,89,Metro Quadrado,ilhéus | nativa 182x1524,1
0,26,90,Metro Quadrado,vila velha | nativa 182x1524,1
