Laranjal,,,,,
Codigo ,Expositor ,Posição ,Unidade ,Referencia,Quantidade
1036669,27,1,Metro Quadrado,,1
1036668,27,2,Metro Quadrado,,1
1109004,27,3,Metro Quadrado,,1
0,27,4,Metro Quadrado,piso vinilico ecomex 1.220x183mm,1
1106495,27,5,Metro Quadrado,,1
1108997,27,6,Metro Quadrado,,1
1108994,27,7,Metro Quadrado,,1
1109000,27,8,Metro Quadrado,,1
1109003,27,9,Metro Quadrado,,1
1109005,27,10,Metro Quadrado,,1
1105319,27,11,Metro Quadrado,,1
1078824,27,12,Metro Quadrado,0,1
1078828,27,13,Metro Quadrado,,1
1078822,27,14,Metro Quadrado,0,1
0,27,15,Metro Quadrado,0,1
1100250,27,16,Metro Quadrado,0,1
1100246,27,17,Metro Quadrado,,1
1100252,27,18,Metro Quadrado,,1
1127976,27,19,Metro Quadrado,,1
1127967,27,20,Metro Quadrado,,2
1123096,27,21,Metro Quadrado,,2
1123100,27,22,Metro Quadrado,,2
1123102,27,23,Metro Quadrado,,2
