Codigo ,Expositor ,Posicao,Unidade,Referencia ,Quantidade
0,28,1,Metro Quadrado,,1
1062562,28,2,Metro Quadrado,,1
0,28,3,Metro Quadrado,,1
1053360,28,4,Metro Quadrado,,1
1053520,28,5,Metro Quadrado,,1
1053591,28,6,Metro Quadrado,,1
1054968,28,7,Metro Quadrado,,1
1062565,28,8,Metro Quadrado,,1
1053235,28,9,Metro Quadrado,,1
0,28,10,Metro Quadrado,,1
0,28,11,Metro Quadrado,,1
1059877,28,12,Metro Quadrado,,1
0,28,13,Metro Quadrado,,1
0,28,14,Metro Quadrado,,1
1056527,28,15,Metro Quadrado,,1
1062561,28,16,Metro Quadrado,,1
0,28,17,Metro Quadrado,,1
0,28,18,Metro Quadrado,,1
1111636,28,19,Metro Quadrado,,1
1111638,28,20,Metro Quadrado,,1
0,28,21,Metro Quadrado,,1
1111366,28,22,Metro Quadrado,,1
1111644,28,23,Metro Quadrado,,1
1111642,28,24,Metro Quadrado,,1
0,28,25,Metro Quadrado,,1
1111640,28,26,Metro Quadrado,,1
1111646,28,27,Metro Quadrado,,1
1111648,28,28,Metro Quadrado,,1
0,28,29,Metro Quadrado,,1
1109639,28,30,Metro Quadrado,,1
0,28,31,Metro Quadrado,,1
1092206,28,32,Metro Quadrado,,1
1066278,28,33,Metro Quadrado,,1
1066503,28,34,Metro Quadrado,,1
1066511,28,35,Metro Quadrado,,1
1066493,28,36,Metro Quadrado,,1
1065471,28,37,Metro Quadrado,,1
1066505,28,38,Metro Quadrado,,1
1066062,28,39,Metro Quadrado,,1
