Laranjal,,,,,
Codigo,Expositor,Posicao,Unidade,Referencia,Quantidade 
0,4,1,Metro Quadrado,5041211,1
1128118,4,2,Metro Quadrado,5062569,1
0,4,3,Metro Quadrado,5062568,1
1110200,4,4,Metro Quadrado,,1
0,4,5,Metro Quadrado,5062581,1
0,4,6,Metro Quadrado,5062631,1
0,4,7,Metro Quadrado,5062319,1
1129015,4,8,Metro Quadrado,5062562,1
0,4,9,Metro Quadrado,5062560,1
1116040,4,10,Metro Quadrado,,1
1119816,4,11,Metro Quadrado,,1
1118284,4,12,Metro Quadrado,,1
1123880,4,13,Metro Quadrado,,1
1118934,4,14,Metro Quadrado,,1
1095706,4,15,Metro Quadrado,,1
1096947,4,16,Metro Quadrado,,1
1095970,4,17,Metro Quadrado,,1
1096471,4,18,Metro Quadrado,,1
1130604,4,19,Metro Quadrado,5062629,1
1116047,4,20,Metro Quadrado,,1
1103936,4,21,Metro Quadrado,,1
1115807,4,22,Metro Quadrado,,1
1066778,4,23,Metro Quadrado,,1
1126557,4,24,Metro Quadrado,6061796,1
1070066,4,25,Metro Quadrado,,1
1119641,4,26,Metro Quadrado,,1
1114843,4,27,Metro Quadrado,,1
1111957,4,28,Metro Quadrado,,1
1062493,4,29,Metro Quadrado,,1
1087446,4,30,Metro Quadrado,,1
6062574,4,31,Metro Quadrado,,1
1113998,4,32,Metro Quadrado,,1
