Laranjal,,,,,,
Codigo,Expositor,Posicao,Unidade,Referencia,Quantidade ,
1126129,5,1,Metro Quadrado,5062640,1,
1127642,5,2,Metro Quadrado,5062645,1,
1128743,5,3,Metro Quadrado,5047023,1,
0,5,4,Metro Quadrado,5062642,1,
0,5,5,Metro Quadrado,6062637,1,
1128068,5,6,Metro Quadrado,5047024,1,
0,5,7,Metro Quadrado,5062641,1,
1103926,5,8,Metro Quadrado,98000048,1,
1082490,5,9,Metro Quadrado,F3902E816,1,
1115673,5,10,Metro Quadrado,F4700E802,1,
1078313,5,11,Metro Quadrado,,1,
1111385,5,12,Metro Quadrado,FOKO1MHO2,1,
1103925,5,13,Metro Quadrado,98000044,1,
1068402,5,14,Metro Quadrado,FNI05E802,1,
1091037,5,15,Metro Quadrado,98000034,1,
1116059,5,16,Metro Quadrado,62464,1,
1116606,5,17,Metro Quadrado,,1,
1110694,5,18,Metro Quadrado,,1,
1097518,5,19,Metro Quadrado,,1,
1103841,5,20,Metro Quadrado,,1,
1096990,5,21,Metro Quadrado,,1,
1129549,5,22,Metro Quadrado,,1,
0,5,23,Metro Quadrado,5062637,1,
1107948,5,24,Metro Quadrado,29856E,1,-
1098022,5,25,Metro Quadrado,5047019,1,
1116052,5,26,Metro Quadrado,5062498,1,
0,5,27,Metro Quadrado,5047018,1,
1119931,5,28,Metro Quadrado,5047028,1,
1116040,5,29,Metro Quadrado,5062503,1,
1095841,5,30,Metro Quadrado,5047016,1,
1121077,5,31,Metro Quadrado,5047030,1,
1128475,5,32,Metro Quadrado,,1,
1091817,5,33,Metro Quadrado,,1,
1120085,5,34,Metro Quadrado,,1,
1096049,5,35,Metro Quadrado,,1,
1105901,5,36,Metro Quadrado,,1,
1099606,5,37,Metro Quadrado,,1,
1118470,5,38,Metro Quadrado,,1,
1125264,5,39,Metro Quadrado,,1,
1119664,5,40,Metro Quadrado,,1,
1094619,5,41,Metro Quadrado,,1,
1095336,5,42,Metro Quadrado,,1,
1128917,5,43,Metro Quadrado,203698F,1,
1098708,5,44,Metro Quadrado,,1,
1109084,5,45,Metro Quadrado,,1,
1092548,5,46,Metro Quadrado,,1,
1084007,5,47,Metro Quadrado,,1,
0,5,48,Metro Quadrado,6062556,1,
1090948,5,49,Metro Quadrado,,1,
1117929,5,50,Metro Quadrado,,1,
1110264,5,51,Metro Quadrado,,1,
1110265,5,52,Metro Quadrado,,1,
1109789,5,53,Metro Quadrado,,1,
1130010,5,54,Metro Quadrado,,1,
1109806,5,55,Metro Quadrado,,1,
