Laranjal,,,,,
Codigo,Expositor,Posicao,Unidade,Referencia,Quantidade 
1115674,6,1,Metro Quadrado,,1
1101414,6,2,Metro Quadrado,,1
1126035,6,3,Metro Quadrado,,1
1096186,6,4,Metro Quadrado,,1
1076163,6,5,Metro Quadrado,,1
1098672,6,6,Metro Quadrado,,1
1081123,6,7,Metro Quadrado,,1
1126000,6,8,Metro Quadrado,,1
1127493,6,9,Metro Quadrado,,1
1115667,6,10,Metro Quadrado,,1
1083089,6,11,Metro Quadrado,,1
1104805,6,12,Metro Quadrado,,1
1116605,6,13,Metro Quadrado,,1
1097061,6,14,Metro Quadrado,,1
1108182,6,15,Metro Quadrado,,1
1096348,6,16,Metro Quadrado,,1
1111994,6,17,Metro Quadrado,,1
1095990,6,18,Metro Quadrado,,1
1109279,6,19,Metro Quadrado,,1
1113075,6,20,Metro Quadrado,,1
1097913,6,21,Metro Quadrado,,1
1076777,6,22,Metro Quadrado,,1
1125751,6,23,Metro Quadrado,5048005,1
1125211,6,24,Metro Quadrado,5062501,1
0,6,25,Metro Quadrado,5048006,1
1125455,6,26,Metro Quadrado,,1
1105912,6,27,Metro Quadrado,,1
0,6,28,Metro Quadrado,5048012,1
1109108,6,29,Metro Quadrado,,1
1118301,6,30,Metro Quadrado,,1
1119222,6,31,Metro Quadrado,,1
1093631,6,32,Metro Quadrado,,1
1116126,6,33,Metro Quadrado,,1
1111435,6,34,Metro Quadrado,,1
1105907,6,35,Metro Quadrado,,1
1105900,6,36,Metro Quadrado,,1
1113155,6,37,Metro Quadrado,,1
1129771,6,38,Metro Quadrado,,1
1105898,6,39,Metro Quadrado,,1
1113602,6,40,Metro Quadrado,,1
1119815,6,41,Metro Quadrado,,1
1105908,6,42,Metro Quadrado,,1
1119030,6,43,Metro Quadrado,,1
1078346,6,44,Metro Quadrado,,1
1131539,6,45,Metro Quadrado,6062619,1
1117893,6,46,Metro Quadrado,,1
1119824,6,47,Metro Quadrado,,1
1105673,6,48,Metro Quadrado,,1
1112044,6,49,Metro Quadrado,,1
1110261,6,50,Metro Quadrado,,1
1129783,6,51,Metro Quadrado,,1
1129770,6,52,Metro Quadrado,,1
1117931,6,53,Metro Quadrado,,1
1109805,6,54,Metro Quadrado,,1
