Laranjal,,,,,
Codigo,Expositor,Posicao,Unidade,Referencia,Quantidade 
1061136,8,1,Metro Quadrado,,1
1086224,8,2,Metro Quadrado,,1
1050353,8,3,Metro Quadrado,,1
1060215,8,4,Metro Quadrado,,1
1062174,8,5,Metro Quadrado,,1
1062178,8,6,Metro Quadrado,,1
1066989,8,7,Metro Quadrado,,1
1119616,8,8,Metro Quadrado,,1
1115661,8,9,Metro Quadrado,,1
1076157,8,10,Metro Quadrado,,1
1115661,8,11,Metro Quadrado,,1
0,8,12,Metro Quadrado,INC12W20016,1
1096707,8,13,Metro Quadrado,,1
1115659,8,14,Metro Quadrado,,1
1115660,8,15,Metro Quadrado,,1
0,8,16,Metro Quadrado,INC22W20014,1
1096017,8,17,Metro Quadrado,,1
1120254,8,18,Metro Quadrado,,1
1131265,8,19,Metro Quadrado,INC12W20013,1
1096434,8,20,Metro Quadrado,,1
1115662,8,21,Metro Quadrado,,1
1130612,8,22,Metro Quadrado,INC12570002,1
1115670,8,23,Metro Quadrado,,1
1118710,8,24,Metro Quadrado,,1
1077498,8,25,Metro Quadrado,F3501AW01,1
1097764,8,26,Metro Quadrado,,1
1051030,8,27,Metro Quadrado,,1
1050688,8,28,Metro Quadrado,,1
1115669,8,29,Metro Quadrado,,1
1097247,8,30,Metro Quadrado,,1
1098676,8,31,Metro Quadrado,,1
1106114,8,32,Metro Quadrado,,1
1058471,8,33,Metro Quadrado,,1
1117559,8,34,Metro Quadrado,,1
1117776,8,35,Metro Quadrado,,1
1078767,8,36,Metro Quadrado,,1
1117563,8,37,Metro Quadrado,,1
1119957,8,38,Metro Quadrado,,1
1117934,8,39,Metro Quadrado,,1
1117581,8,40,Metro Quadrado,,1
1117654,8,41,Metro Quadrado,,1
1117778,8,42,Metro Quadrado,,1
1117519,8,43,Metro Quadrado,,1
1123104,8,44,Metro Quadrado,,1
1119639,8,45,Metro Quadrado,,1
1029815,8,46,Metro Quadrado,,1
1117720,8,47,Metro Quadrado,,1
1121977,8,48,Metro Quadrado,,1
1098229,8,49,Metro Quadrado,,1
