Codigo,Expositor,Posicao,Unidade,Referencia,Quantidade 
1107936,9,1,Metro Quadrado,,1
1066093,9,2,Metro Quadrado,,1
1095000,9,3,Metro Quadrado,,1
1109540,9,4,Metro Quadrado,,1
1100078,9,5,Metro Quadrado,,1
1065029,9,6,Metro Quadrado,,1
1119441,9,7,Metro Quadrado,,1
1067170,9,8,Metro Quadrado,,1
1076106,9,9,Metro Quadrado,,1
1062243,9,10,Metro Quadrado,,1
1095683,9,11,Metro Quadrado,,1
1093308,9,12,Metro Quadrado,,1
1083999,9,13,Metro Quadrado,,1
1063082,9,14,Metro Quadrado,,1
1062761,9,15,Metro Quadrado,,1
1062130,9,16,Metro Quadrado,,1
1062262,9,17,Metro Quadrado,,1
1062152,9,18,Metro Quadrado,,1
1097267,9,19,Metro Quadrado,,1
1065450,9,20,Metro Quadrado,,1
1062756,9,21,Metro Quadrado,,1
1062407,9,22,Metro Quadrado,,1
1062484,9,23,Metro Quadrado,,1
1062760,9,24,Metro Quadrado,,1
1091926,9,25,Metro Quadrado,,1
1095629,9,26,Metro Quadrado,,1
0,9,27,Metro Quadrado,66220132,1
