Laranjal,,,,,
Codigo,Expositor,Posicao,Unidade,Referencia,Quantidade
1046480,Mesa Deca,1,Peça,,1
1095409,Mesa Deca,1,Peça,,1
1046480,Mesa Deca,1,Peça,,1
1096996,Mesa Deca,1,Peça,,1
1116185,Mesa Deca,1,Peça,,1
1126831,Mesa Deca,2,Peça,l24050,1
1126817,Mesa Deca,2,Peça,L.22030.85lj,1
1126816,Mesa Deca,2,Peça,l.2203v.49lj,1
1078515,Mesa Deca,3,Peca,,1
1054111,Mesa Deca,3,Peça,,1
1096995,Mesa Deca,3,Peça,,1
1117690,Mesa Deca,3,Peça,,1
1116178,Mesa Deca,3,Peça,,1
1079419,Mesa Deca,4,Peça,,1
1116190,Mesa Deca,4,Peça,,1
1056907,Mesa Deca,4,Peça,,1
1116186,Mesa Deca,4,Peça,,1
1092566,Mesa Deca,4,Peça,,1
1116179,Mesa Deca,4,Peça,,1
1042018,Gaveta Deca,1,Peça,,1
1046638,Gaveta Deca,2,Peça,,1
1053686,Gaveta Deca,2,Peça,,1
1126788,Gaveta Deca,3,Peça,l.63040,1
1053505,Gaveta Deca,4,Peça,,1
1029715,Gaveta Deca,4,Peça,,1
1036223,Gaveta Deca,5,Peça,,1
1044789,Gaveta Deca,7,Peça,,1
1061488,Gaveta Deca,8,Peça,,1
1002301,Gaveta Deca,10,Peça,,1
1059797,Gaveta Deca,11,Peça,,1
1053696,Gaveta Deca,12,Peça,,1
1024299,Gaveta Deca,13,Peça,,1
1014201,Gaveta Deca,14,Peça,,1
1116194,Gaveta Deca,16,Peça,,1
1063077,Gaveta Deca,17,Peça,,1
1126774,Gaveta Deca,18,Peça,Não tem ref,1
1116193,Gaveta Deca,19,Peça,,1
1126830,Gaveta Deca,20,Peça,Não tem ref,1
1126811,Gaveta Deca,21,Peça,L21040M,1
1021926,Gaveta Deca,22,Peça,,1
1126796,Gaveta Deca,23,Peça,L63050m17LJ,1
1016393,Gaveta Deca,24,Peça,,1
1126826,Gaveta Deca,25,Peça,L2305085LJ,1
1043593,Gaveta Deca,26,Peça,,1
1054687,Gaveta Deca,26,Peça,,1
1058575,Gaveta Deca,26,Peça,,1
1090532,Gaveta Deca,27,Peça,,1
1046638,Gaveta Deca,27,Peça,,1
1053861,Gaveta Deca,28,Peça,,1
1013282,Gaveta Deca,28,Peça,,1
1064084,Parede Deca,1,Peça,,1
1063869,Parede Deca,1,Peça,,1
1036429,Parede Deca,1,Peça,,1
1053874,Parede Deca,1,Peça,,1
1092322,Parede Deca,2,Peça,,1
1000236,Parede Deca,3,Peça,,1
1030933,Parede Deca,3,Peça,,1
1061041,Parede Deca,4,Peça,,1
1057101,Parede Deca,4,Peça,,1
1057099,Parede Deca,4,Peça,,1
1075155,Parede Deca,4,Peça,,1
1062382,Parede Deca,4,Peça,,1
1062483,Parede Deca,4,Peça,,1
1079443,Parede Deca,4,Peça,,1
1079442,Parede Deca,4,Peça,,1
1079441,Parede Deca,4,Peça,,1
1079448,Parede Deca,4,Peça,,1
1079425,Parede Deca,4,Peça,,1
1079396,Parede Deca,4,Peça,,1
1079394,Parede Deca,4,Peça,,1
1079451,Parede Deca,4,Peça,,1
1079440,Parede Deca,4,Peça,,1
1079446,Parede Deca,4,Peça,,1
1079445,Parede Deca,4,Peça,,1
1079444,Parede Deca,4,Peça,,1
1079452,Parede Deca,4,Peça,,1
1079449,Parede Deca,4,Peça,,1
1079426,Parede Deca,4,Peça,,1
1079397,Parede Deca,4,Peça,,1
1079395,Parede Deca,4,Peça,,1
1056386,Parede Deca,5,Peça,,1
1053074,Parede Deca,5,Peça,,1
1053666,Parede Deca,5,Peça,,1
1053665,Parede Deca,5,Peça,,1
1053667,Parede Deca,5,Peça,,1
1053073,Parede Deca,5,Peça,,1
1053664,Parede Deca,5,Peça,,1
1053071,Parede Deca,5,Peça,,1
1053076,Parede Deca,5,Peça,,1
1053075,Parede Deca,5,Peça,,1
1058621,Parede Deca,5,Peça,,1
1059693,Parede Deca,5,Peça,,1
1058622,Parede Deca,5,Peça,,1
1058623,Parede Deca,5,Peça,,1
1058625,Parede Deca,5,Peça,,1
1058624,Parede Deca,5,Peça,,1
1058788,Parede Deca,5,Peça,,1
1058620,Parede Deca,5,Peça,,1
1055458,Parede Deca,5,Peça,,1
1061931,Parede Deca,5,Peça,,1
1078933,Parede Deca,5,Peça,,1
1063376,Parede Deca,6,Peça,,1
1081452,Parede Deca,6,Peça,,1
1079405,Parede Deca,6,Peça,,1
1079392,Parede Deca,6,Peça,,1
1057303,Parede Deca,6,Peça,,1
1127038,Parede Deca,6,Peça,Acab. no caixa,1
1054153,Parede Deca,6,Peça,,1
1048832,Parede Deca,6,Peça,,1
1016058,Parede Deca,6,Peça,,1
1053924,Parede Deca,6,Peça,,1
7746,Parede Deca,6,Peça,,1
11775,Parede Deca,6,Peça,,1
1091343,Parede Deca,6,Peça,,1
1127021,Parede Deca,6,Peça,Ducha black matte,1
1127019,Parede Deca,6,Peça,Ducha black matte,1
1039017,Parede Deca,7,Peça,,1
1038844,Parede Deca,7,Peça,,1
1095482,Parede Deca,7,Peça,,1
1021836,Parede Deca,7,Peça,,1
1036737,Parede Deca,7,Peça,,1
1128115,Parede Deca,7,Peça,Torneira vermelha,1
1035787,Parede Deca,7,Peça,,1
1061149,Prateleira Deca,1,Peça,,1
1046597,Prateleira Deca,1,Peça,,1
1080830,Prateleira Deca,2,Peça,,1
1056589,Prateleira Deca,2,Peça,,1
