Laranjal,,,,,
Codigo,Expositor,Posicao,Unidade,Referencia,Quantidade
1089402,Lexxa,X,Peça,,1
1088896,Lexxa,X,Peça,,1
1084682,Lexxa,X,Peça,,1
1088898,Lexxa,X,Peça,,1
1100945,Lexxa,X,Peça,,1
1097966,Lexxa,X,Peça,,1
1106846,Lexxa,X,Peça,,1
1084678,Lexxa,X,Peça,,1
1084670,Lexxa,X,Peça,,1
1084672,Lexxa,X,Peça,,1
1106584,Lexxa,X,Peça,,1
1101835,Lexxa,X,Peça,,1
1084451,Lexxa,X,Peça,,1
1086225,Lexxa,X,Peça,,1
1095374,Lexxa,X,Peça,,1
1109513,Lexxa,X,Peça,,1
1084586,Lexxa,X,Peça,,1
1088783,Lexxa,X,Peça,,1
1088693,Lexxa,X,Peça,,1
1086244,Lexxa,X,Peça,,1
1109512,Lexxa,X,Peça,,1
1107185,Lexxa,X,Peça,,1
1105605,Lexxa,X,Peça,,1
1085601,Lexxa,X,Peça,,1
1084659,Lexxa,X,Peça,,1
1085644,Lexxa,X,Peça,,1
1097222,Lexxa,X,Peça,,1
1096119,Lexxa,X,Peça,,1
1109516,Lexxa,X,Peça,,1
1088804,Lexxa,X,Peça,,1
1098239,Lexxa,X,Peça,,1
